CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
																
																
																
																
																
																
																
																
																
																
			A												a	
a	а	f	oh!	oh!				particle; expresses surprise; a, taawa ‘oh, there it is’; a, ima aviituq ‘oh, it's not there anymore’						19	a	a
aa1	ā1	6¡	darn!	darn!				particle; pronounced with breathy voice to indicate exasperation				PE a(a)		19	a1	x1
aa2, aa-a	ā2, ā-а	6™. 6-f	yes	yes				particle; an expression of approval or agreement; aanaqsiin? ‘are you going out?’ -- aa ‘yes’				PE a(a)&		19	a2	x2
aafkagh-	āфкаӷ-	6arf4-	to burst	burst				aafkaghtuq ‘it burst’; aafkaghaa ‘he burst it’ / Maalghuk ighuk ugugnaghaam ighukek neghumakek. Taagken aghnam pimakanga, aqsanga kenegraamaan, "Kaay aqsan aafkaghllequq." ‘He ate two legs, hind-quarters of the shrew. Then the woman said to him, while poking at his stomach, “Hey, your stomach will burst.” (UNGIPAGHAGH. 80)		aafkaneghlluk		< aveg-qagh-			afkagh-	xfkagh-
aafkaneghlluk	āфканыҳльюк	6arfys5k]/r	durable material that will not burst	durable material that will not burst					ghjxysq øj yfledyjv ghtlvtntπ		esp. of pneumatic things as Rub. 109 says? check	< aafkagh-neghlluk			afkaneghlluk	xfkaneghlluk
afkuyaq	афкуяқ	farez2	cause of something (especially a problem)	cause of something (especially a problem)				ullghitagma afkuyaa naalkaghtaqa ‘I found the cause of the problem with my wheeled/tracked vehicle’; Naghullgaqluki, pakin'gumakanga nagun iqelqwakun itegaakun, taawa taana tuqusiqaa, pakinellgha qazigyaghaam. Aatgha Anaqsi, Sikneghnii. Afkuyaghhaan. ‘While he was harpooning them, it scratched him somewhere on his little toe, and that’s what killed him, the scratch of a seal. … That was all it took.’ (SIVUQ. NANGAGH. 3:22)							afkuyaq	afkuyaq
aflaaghaghte-	афлья̄ҳты-	fak]95ns-	to interrupt	interrupt								< aflaaq-aghte- (?)			aflaghaghte-	aflxghaghte-
aflaaq	афлья̄қ	fak]92	thing between two others; middle one	between (thing ~ two others)	middle one					> aflaaghaghte-		< aflu-?			aflaq	aflxq
aflenga-	афльыңа-	fak]s3f-	to be thrifty; to take good care of one’s things	thrifty (be ~)	care (take good ~ of one’s things’			aflengaaq ‘he is thrifty’, ‘he takes care of his things’ /		> aflengake-, aflenganeq					aflenga-	aflenga-
aflengake-	афльыңакы-	fak]s3frs-	to take care of (valued possession or person); to keep	take care of (valued possession or person)	keep			aflengakaa ‘he is taking care of it’ / Qikmiqa ataasiq tuunluku maalghuk aflengakagka.’ I gave away one of my dogs and kept two.’ (SLI JR. DICT. 8)				< aflenga-ke2-			aflengake-	aflengake-
aflenganeq	афльыңанық	fak]s3fys2	thrifty person; one who takes good care of what he has	thrifty person	care (one who takes good ~ of what he has)			aflenganghuuq ‘he’s a person who takes good care of what he has’				< aflenga-neq?			aflenganeq	aflenganeq
