CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
																	A									
																										
																										
+ae	-fs	Yupicizes English words		frog-a ‘frog’, frog-et ‘frogs’; frog-nguuq ‘it is a frog’; computer-a or computer-ek ‘computer’ (note conventional dual for one thing); John-em aatkii camel-em melqwaneng ulimaaghet. ‘John’s garments were made of camel fur.’ (Mark 1.6)													allows English words to be used in Yupik						+ae	a	a	-аы
+agh-	-f4-	catch N (game)		used with game animal nouns; non-productive (?); ayveghaghtuq ‘he caught a walrus’ (from ayveq ‘walrus’); nanughaghtuq ‘he caught a polar bear’ (from nanuq ‘polar bear’)													to catch N (game)						+agh-	agh	agh	-аӷ-
-aghagh-				see ~+(at)aghagh-													to be V-er; to V more; to be more V						~+(at)aghagh-	aghagh	aghagh	
+aghaghte-	-f4f5ns-	immediately V		evidently used only with vowel-ending bases (?); esleqaghaghtuq ‘it filled immediately’ (from esleqe- ‘to be full’); estaaghaghtuq ‘it slid for a short time’ (from estu- ‘to slide’); maniighaghtuq ‘he suddenly ran for protection’ (from mani- ‘to move closer’); piighaghtuq ‘he did or said something quickly, or went quickly’ (from pi- ‘to do, say, go’); tagiighaghtuq ‘he came right back’ (from tagi- ‘to come’)	briefly V	quickly V								suddenly V			to immediately V; to briefly V; to quickly V; to suddenly V		pb PY -a3a3t0-				+aghaghte-	aghaghte	aghaghte	-аӷаҳты-
:aghaq*	-f4f2	young N		non-productive (?); used mainly with animate nouns; naghuyaaghaq ‘baby gull’ (from naghuyaq ‘gull’); kayngaaghaq ‘brown bear cub’ (from kaynga ‘brown bear’); nanaaghaq ‘polar bear cub’ (from nanuq ‘polar bear’); yugpagaghaq ‘dwarf’ (from yugpak ‘big person’ (!)); tapghaaghaq ‘razor clam; long thin rope’ (from tapghaq ‘rope’); kukupagaghaq ‘young ribbon seal’ (from kukupak ‘ribbon seal’); ulghaaghaghaq ‘young sea lion’ (from ulghaaq ‘sea lion’); also possibly in the following (from unidentified bases); panaaghaq ‘toy spear, peg’ (from pana ‘spear’): mesaqaaghaq ‘baby snow bunting’; nguuyngaaghaq ‘housefly’; sipelaaghaq ‘guillemot’; yuungaaghaq ‘jaeger’	small N												young N; small N						:aghaq*	aghaq	aghaq	-аӷақ
-aghesnagh-				see ~f+(a)ghesnagh-													to just V; to V just now; to only V (and perhaps in vain)						~f+(a)ghesnagh-	aghesnagh	aghesnagh	
~f+(a)ghesnagh-	-øfπ4scy]f4-	just V		used only with vowel-ending bases (with consonant-ending bases -qiinagh-  is used instead); qiyaghesnaghtuq ‘he is just crying’ (from qiya- ‘to cry’); tagighesnaghtuq ‘he just came’ (from tagi- ‘to come’); a is used with bases that end in e: aanaghesnaghtuq ‘he just went out’ (from aane- ‘to go out’); taaqaghesnaghtuq ‘he just quit’ (from taaqe- ‘to quit’);  kaataghesnaghtuq ‘he just arrived’ (from kaate- ‘to arrive’); Keniliighusimaghmeng piiqelghiit pillghughtefagilgagu ketaghesnaghyaghqaaluteng. 'They would also start working on the launching chutes for their boats so that before it was time [to go out whaling] they would not have to break a new path.' (from kete- ‘to go out to sea’) (SIVUQ. NANGAGH. 1:134); Yataaghqengngwaaghluni whaa nalugutaghesnaan akuqaamakanga, qaakaa. 'He got ready and as soon as the dog jumped again, he grabbed its paws and pulled it up.'(from nalugute- ‘to jump across’) (AKIINGQWAAGH. 12); Nengyaan esghapagumakanga uteghmun qiivaghesnaghaqluni naayghaghlluginaghmun taglalghii. 'His grandmother watched Sulpik keep looking back over his shoulder as he headed straight for the mountains.' (from qiive- ‘to turn body or head’) (AKIINGQWAAGH. 53); Aamtaam nefkunaghsimaan unakegkat kaatutaghesnaq nefkulghiini, maaten elpesi nefkulleghpesistun taawa allangwaaqut. ‘The meat that had been caught latter in the season and hung right away had a whole different taste.’ (from kaatute- ‘to come (together)’) (SIVUQ. NANGAGH. 1:88)	just now V	only V											to just V; to V just now; to only V (and perhaps in vain)		cf. CAY pb. -nricenar- ‘to not V afterall’ -- partly a cognate				~f+(a)ghesnagh-	aghesnagh	aghesnagh	-(а)ӷысньаӷ-
